PassengerId,Survived,Pclass,Sex,Embarked,Title,FamilySize,AgeCategory
1,0,3,1,1,1,1,1
2,1,1,0,3,3,1,2
3,1,3,0,1,2,0,2
4,1,1,0,1,3,1,2
5,0,3,1,1,1,0,2
6,0,3,1,2,1,0,2
7,0,1,1,1,1,0,3
8,0,3,1,1,4,4,1
9,1,3,0,1,3,2,2
10,1,2,0,3,3,1,1
11,1,3,0,1,2,2,1
12,1,1,0,1,2,0,3
13,0,3,1,1,1,0,1
14,0,3,1,1,1,6,2
15,0,3,0,1,2,0,1
16,1,2,0,1,3,0,3
17,0,3,1,2,4,5,1
18,1,2,1,1,1,0,2
19,0,3,0,1,3,1,2
20,1,3,0,3,3,0,2
21,0,2,1,1,1,0,2
22,1,2,1,1,1,0,2
23,1,3,0,2,2,0,1
24,1,1,1,1,1,0,2
25,0,3,0,1,2,4,1
26,1,3,0,1,3,6,2
27,0,3,1,3,1,0,2
28,0,1,1,1,1,5,1
29,1,3,0,2,2,0,2
30,0,3,1,1,1,0,2
31,0,1,1,3,13,0,2
32,1,1,0,3,3,1,2
33,1,3,0,2,2,0,2
34,0,2,1,1,1,0,3
35,0,1,1,3,1,1,2
36,0,1,1,1,1,1,2
37,1,3,1,3,1,0,2
38,0,3,1,1,1,0,1
39,0,3,0,1,2,2,1
40,1,3,0,3,2,1,1
41,0,3,0,1,3,1,2
42,0,2,0,1,3,1,2
43,0,3,1,3,1,0,2
44,1,2,0,3,2,3,1
45,1,3,0,2,2,0,1
46,0,3,1,1,1,0,2
47,0,3,1,2,1,1,2
48,1,3,0,2,2,0,2
49,0,3,1,3,1,2,2
50,0,3,0,1,3,1,1
51,0,3,1,1,4,5,1
52,0,3,1,1,1,0,1
53,1,1,0,3,3,1,2
54,1,2,0,1,3,1,2
55,0,1,1,3,1,1,3
56,1,1,1,1,1,0,2
57,1,2,0,1,2,0,1
58,0,3,1,3,1,0,2
59,1,2,0,1,2,3,1
60,0,3,1,1,4,7,1
61,0,3,1,3,1,0,1
62,1,1,0,1,2,0,2
63,0,1,1,1,1,1,2
64,0,3,1,1,4,5,1
65,0,1,1,3,1,0,2
66,1,3,1,3,4,2,2
67,1,2,0,1,3,0,2
68,0,3,1,1,1,0,1
69,1,3,0,1,2,6,1
70,0,3,1,1,1,2,2
71,0,2,1,1,1,0,2
72,0,3,0,1,2,7,1
73,0,2,1,1,1,0,1
74,0,3,1,3,1,1,2
75,1,3,1,1,1,0,2
76,0,3,1,1,1,0,1
77,0,3,1,1,1,0,2
78,0,3,1,1,1,0,2
79,1,2,1,1,4,2,1
80,1,3,0,1,2,0,2
81,0,3,1,1,1,0,1
82,1,3,1,1,1,0,2
83,1,3,0,2,2,0,2
84,0,1,1,1,1,0,2
85,1,2,0,1,2,0,1
86,1,3,0,1,3,3,2
87,0,3,1,1,1,4,1
88,0,3,1,1,1,0,2
89,1,1,0,1,2,5,1
90,0,3,1,1,1,0,1
91,0,3,1,1,1,0,2
92,0,3,1,1,1,0,1
93,0,1,1,1,1,1,2
94,0,3,1,1,1,3,2
95,0,3,1,1,1,0,3
96,0,3,1,1,1,0,2
97,0,1,1,3,1,0,3
98,1,1,1,3,1,1,1
99,1,2,0,1,3,1,2
100,0,2,1,1,1,1,2
101,0,3,0,1,2,0,2
102,0,3,1,1,1,0,2
103,0,1,1,1,1,1,1
104,0,3,1,1,1,0,2
105,0,3,1,1,1,2,2
106,0,3,1,1,1,0,2
107,1,3,0,1,2,0,1
108,1,3,1,1,1,0,2
109,0,3,1,1,1,0,2
110,1,3,0,2,2,1,2
111,0,1,1,1,1,0,2
112,0,3,0,3,2,1,1
113,0,3,1,1,1,0,1
114,0,3,0,1,2,1,1
115,0,3,0,3,2,0,1
116,0,3,1,1,1,0,1
117,0,3,1,2,1,0,3
118,0,2,1,1,1,1,2
119,0,1,1,3,1,1,1
120,0,3,0,1,2,6,1
121,0,2,1,1,1,2,1
122,0,3,1,1,1,0,2
123,0,2,1,3,1,1,2
124,1,2,0,1,2,0,2
125,0,1,1,1,1,1,3
126,1,3,1,3,4,1,1
127,0,3,1,2,1,0,2
128,1,3,1,1,1,0,1
129,1,3,0,3,2,2,2
130,0,3,1,1,1,0,2
131,0,3,1,3,1,0,2
132,0,3,1,1,1,0,1
133,0,3,0,1,3,1,2
134,1,2,0,1,3,1,2
135,0,2,1,1,1,0,1
136,0,2,1,3,1,0,1
137,1,1,0,1,2,2,1
138,0,1,1,1,1,1,2
139,0,3,1,1,1,0,1
140,0,1,1,3,1,0,1
141,0,3,0,3,3,2,2
142,1,3,0,1,2,0,1
143,1,3,0,1,3,1,1
144,0,3,1,2,1,0,1
145,0,2,1,1,1,0,1
146,0,2,1,1,1,2,1
147,1,3,1,1,1,0,2
148,0,3,0,1,2,4,1
149,0,2,1,1,1,2,2
150,0,2,1,1,6,0,2
151,0,2,1,1,6,0,3
152,1,1,0,1,3,1,1
153,0,3,1,1,1,0,3
154,0,3,1,1,1,2,2
155,0,3,1,1,1,0,2
156,0,1,1,3,1,1,3
157,1,3,0,2,2,0,1
158,0,3,1,1,1,0,2
159,0,3,1,1,1,0,2
160,0,3,1,1,4,10,2
161,0,3,1,1,1,1,2
162,1,2,0,1,3,0,2
163,0,3,1,1,1,0,2
164,0,3,1,1,1,0,1
165,0,3,1,1,4,5,1
166,1,3,1,1,4,2,1
167,1,1,0,1,3,1,2
168,0,3,0,1,3,5,2
169,0,1,1,1,1,0,2
170,0,3,1,1,1,0,2
171,0,1,1,1,1,0,3
172,0,3,1,2,4,5,1
173,1,3,0,1,2,2,1
174,0,3,1,1,1,0,1
175,0,1,1,3,1,0,3
176,0,3,1,1,1,2,1
177,0,3,1,1,4,4,2
178,0,1,0,3,2,0,2
179,0,2,1,1,1,0,2
180,0,3,1,1,1,0,2
181,0,3,0,1,2,10,2
182,0,2,1,3,1,0,2
183,0,3,1,1,4,6,1
184,1,2,1,1,4,3,1
185,1,3,0,1,2,2,1
186,0,1,1,1,1,0,2
187,1,3,0,2,3,1,2
188,1,1,1,1,1,0,2
189,0,3,1,2,1,2,2
190,0,3,1,1,1,0,2
191,1,2,0,1,3,0,2
192,0,2,1,1,1,0,1
193,1,3,0,1,2,1,1
194,1,2,1,1,4,2,1
195,1,1,0,3,3,0,2
196,1,1,0,3,2,0,3
197,0,3,1,2,1,0,2
198,0,3,1,1,1,1,2
199,1,3,0,2,2,0,2
200,0,2,0,1,2,0,1
201,0,3,1,1,1,0,2
202,0,3,1,1,1,10,2
203,0,3,1,1,1,0,2
204,0,3,1,3,1,0,2
205,1,3,1,1,1,0,1
206,0,3,0,1,2,1,1
207,0,3,1,1,1,1,2
208,1,3,1,3,1,0,2
209,1,3,0,2,2,0,1
210,1,1,1,3,1,0,2
211,0,3,1,1,1,0,1
212,1,2,0,1,2,0,2
213,0,3,1,1,1,0,1
214,0,2,1,1,1,0,2
215,0,3,1,2,1,1,2
216,1,1,0,3,2,1,2
217,1,3,0,1,2,0,2
218,0,2,1,1,1,1,2
219,1,1,0,3,2,0,2
220,0,2,1,1,1,0,2
221,1,3,1,1,1,0,1
222,0,2,1,1,1,0,2
223,0,3,1,1,1,0,3
224,0,3,1,1,1,0,2
225,1,1,1,1,1,1,2
226,0,3,1,1,1,0,1
227,1,2,1,1,1,0,1
228,0,3,1,1,1,0,1
229,0,2,1,1,1,0,1
230,0,3,0,1,2,4,2
231,1,1,0,1,3,1,2
232,0,3,1,1,1,0,2
233,0,2,1,1,1,0,3
234,1,3,0,1,2,6,1
235,0,2,1,1,1,0,1
236,0,3,0,1,2,0,2
237,0,2,1,1,1,1,2
238,1,2,0,1,2,2,1
239,0,2,1,1,1,0,1
240,0,2,1,1,1,0,2
241,0,3,0,3,2,1,2
242,1,3,0,2,2,1,2
243,0,2,1,1,1,0,2
244,0,3,1,1,1,0,1
245,0,3,1,3,1,0,2
246,0,1,1,2,5,2,2
247,0,3,0,1,2,0,1
248,1,2,0,1,3,2,1
249,1,1,1,1,1,2,2
250,0,2,1,1,6,1,3
251,0,3,1,1,1,0,2
252,0,3,0,1,3,2,2
253,0,1,1,1,1,0,3
254,0,3,1,1,1,1,2
255,0,3,0,1,3,2,2
256,1,3,0,3,3,2,2
257,1,1,0,3,3,0,2
258,1,1,0,1,2,0,2
259,1,1,0,3,2,0,2
260,1,2,0,1,3,1,2
261,0,3,1,2,1,0,2
262,1,3,1,1,4,6,1
263,0,1,1,1,1,2,3
264,0,1,1,1,1,0,2
265,0,3,0,2,2,0,2
266,0,2,1,1,1,0,2
267,0,3,1,1,1,5,1
268,1,3,1,1,1,1,1
269,1,1,0,1,3,1,3
270,1,1,0,1,2,0,2
271,0,1,1,1,1,0,2
272,1,3,1,1,1,0,1
273,1,2,0,1,3,1,2
274,0,1,1,3,1,1,2
275,1,3,0,2,2,0,2
276,1,1,0,1,2,1,3
277,0,3,0,1,2,0,2
278,0,2,1,1,1,0,2
279,0,3,1,2,4,5,1
280,1,3,0,1,3,2,2
281,0,3,1,2,1,0,3
282,0,3,1,1,1,0,2
283,0,3,1,1,1,0,1
284,1,3,1,1,1,0,1
285,0,1,1,1,1,0,2
286,0,3,1,3,1,0,2
287,1,3,1,1,1,0,2
288,0,3,1,1,1,0,1
289,1,2,1,1,1,0,2
290,1,3,0,2,2,0,1
291,1,1,0,1,2,0,2
292,1,1,0,3,3,1,1
293,0,2,1,3,1,0,2
294,0,3,0,1,2,0,1
295,0,3,1,1,1,0,1
296,0,1,1,3,1,0,2
297,0,3,1,3,1,0,1
298,0,1,0,1,2,3,1
299,1,1,1,1,1,0,2
300,1,1,0,3,3,1,2
301,1,3,0,2,2,0,2
302,1,3,1,2,1,2,2
303,0,3,1,1,1,0,1
304,1,2,0,2,2,0,2
305,0,3,1,1,1,0,2
306,1,1,1,1,4,3,1
307,1,1,0,3,2,0,2
308,1,1,0,3,3,1,1
309,0,2,1,3,1,1,2
310,1,1,0,3,2,0,2
311,1,1,0,3,2,0,1
312,1,1,0,3,2,4,1
313,0,2,0,1,3,2,2
314,0,3,1,1,1,0,2
315,0,2,1,1,1,2,2
316,1,3,0,1,2,0,2
317,1,2,0,1,3,1,1
318,0,2,1,1,5,0,3
319,1,1,0,1,2,2,2
320,1,1,0,3,3,2,2
321,0,3,1,1,1,0,1
322,0,3,1,1,1,0,2
323,1,2,0,2,2,0,2
324,1,2,0,1,3,2,1
325,0,3,1,1,1,10,2
326,1,1,0,3,2,0,2
327,0,3,1,1,1,0,3
328,1,2,0,1,3,0,2
329,1,3,0,1,3,2,2
330,1,1,0,3,2,1,1
331,1,3,0,2,2,2,2
332,0,1,1,1,1,0,2
333,0,1,1,1,1,1,2
334,0,3,1,1,1,2,1
335,1,1,0,1,3,1,2
336,0,3,1,1,1,0,2
337,0,1,1,1,1,1,2
338,1,1,0,3,2,0,2
339,1,3,1,1,1,0,2
340,0,1,1,1,1,0,2
341,1,2,1,1,4,2,1
342,1,1,0,1,2,5,1
343,0,2,1,1,1,0,2
344,0,2,1,1,1,0,1
345,0,2,1,1,1,0,2
346,1,2,0,1,2,0,1
347,1,2,0,1,2,0,2
348,1,3,0,1,3,1,2
349,1,3,1,1,4,2,1
350,0,3,1,1,1,0,2
351,0,3,1,1,1,0,1
352,0,1,1,1,1,0,2
353,0,3,1,3,1,2,1
354,0,3,1,1,1,1,1
355,0,3,1,3,1,0,2
356,0,3,1,1,1,0,2
357,1,1,0,1,2,1,1
358,0,2,0,1,2,0,2
359,1,3,0,2,2,0,2
360,1,3,0,2,2,0,2
361,0,3,1,1,1,5,2
362,0,2,1,3,1,1,2
363,0,3,0,3,3,1,2
364,0,3,1,1,1,0,2
365,0,3,1,2,1,1,2
366,0,3,1,1,1,0,2
367,1,1,0,3,3,1,3
368,1,3,0,3,3,0,2
369,1,3,0,2,2,0,2
370,1,1,0,3,15,0,1
371,1,1,1,3,1,1,1
372,0,3,1,1,1,1,1
373,0,3,1,1,1,0,1
374,0,1,1,3,1,0,1
375,0,3,0,1,2,4,1
376,1,1,0,3,3,1,2
377,1,3,0,1,2,0,1
378,0,1,1,3,1,2,2
379,0,3,1,3,1,0,1
380,0,3,1,1,1,0,1
381,1,1,0,3,2,0,2
382,1,3,0,3,2,2,1
383,0,3,1,1,1,0,2
384,1,1,0,1,3,1,2
385,0,3,1,1,1,0,2
386,0,2,1,1,1,0,1
387,0,3,1,1,4,7,1
388,1,2,0,1,2,0,2
389,0,3,1,2,1,0,2
390,1,2,0,3,2,0,1
391,1,1,1,1,1,3,2
392,1,3,1,1,1,0,1
393,0,3,1,1,1,2,2
394,1,1,0,3,2,1,1
395,1,3,0,1,3,2,1
396,0,3,1,1,1,0,1
397,0,3,0,1,2,0,2
398,0,2,1,1,1,0,2
399,0,2,1,1,5,0,1
400,1,2,0,1,3,0,2
401,1,3,1,1,1,0,2
402,0,3,1,1,1,0,2
403,0,3,0,1,2,1,1
404,0,3,1,1,1,1,2
405,0,3,0,1,2,0,1
406,0,2,1,1,1,1,2
407,0,3,1,1,1,0,3
408,1,2,1,1,4,2,1
409,0,3,1,1,1,0,1
410,0,3,0,1,2,4,2
411,0,3,1,1,1,0,2
412,0,3,1,2,1,0,2
413,1,1,0,2,2,1,2
414,0,2,1,1,1,0,2
415,1,3,1,1,1,0,2
416,0,3,0,1,3,0,2
417,1,2,0,1,3,2,2
418,1,2,0,1,2,2,1
419,0,2,1,1,1,0,2
420,0,3,0,1,2,2,1
421,0,3,1,3,1,0,2
422,0,3,1,2,1,0,1
423,0,3,1,1,1,0,2
424,0,3,0,1,3,2,2
425,0,3,1,1,1,2,1
426,0,3,1,1,1,0,2
427,1,2,0,1,3,1,2
428,1,2,0,1,2,0,1
429,0,3,1,2,1,0,2
430,1,3,1,1,1,0,2
431,1,1,1,1,1,0,2
432,1,3,0,1,3,1,2
433,1,2,0,1,3,1,2
434,0,3,1,1,1,0,1
435,0,1,1,1,1,1,2
436,1,1,0,1,2,3,1
437,0,3,0,1,2,4,1
438,1,2,0,1,3,5,1
439,0,1,1,1,1,5,3
440,0,2,1,1,1,0,2
441,1,2,0,1,3,2,2
442,0,3,1,1,1,0,1
443,0,3,1,1,1,1,1
444,1,2,0,1,10,0,2
445,1,3,1,1,1,0,2
446,1,1,1,1,4,2,1
